COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Tunnel    41723 danilrybalkin   78u  IPv4 0xf42d33168dfb659a      0t0  TCP 127.0.0.1:10808->127.0.0.1:63959 (ESTABLISHED)
Tunnel    41723 danilrybalkin   79u  IPv4 0xfa6af892d0f45146      0t0  TCP 127.0.0.1:63977->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   80u  IPv4 0x44385f6f4a0eee98      0t0  TCP 127.0.0.1:57865->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   81u  IPv4 0x7e224b9955a8a394      0t0  TCP 127.0.0.1:10808->127.0.0.1:57865 (ESTABLISHED)
Tunnel    41723 danilrybalkin   82u  IPv4 0x1ca53015404048ca      0t0  TCP 127.0.0.1:10808->127.0.0.1:63977 (ESTABLISHED)
Tunnel    41723 danilrybalkin   83u  IPv4 0xc28b5f88fb37a8f5      0t0  TCP 127.0.0.1:10808->127.0.0.1:51609 (ESTABLISHED)
Tunnel    41723 danilrybalkin   84u  IPv4 0x378c294020bba905      0t0  TCP 127.0.0.1:10808->127.0.0.1:63991 (ESTABLISHED)
Tunnel    41723 danilrybalkin   86u  IPv4  0xf7d33f225a29043      0t0  TCP 127.0.0.1:63998->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   87u  IPv4 0x1001778699119e21      0t0  TCP 192.168.1.134:63394->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   89u  IPv4 0x97359acb601d1f81      0t0  TCP 192.168.1.134:61941->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   91u  IPv4 0x844b30c3860dfe02      0t0  TCP 127.0.0.1:10808->127.0.0.1:59345 (ESTABLISHED)
Tunnel    41723 danilrybalkin   92u  IPv4 0xfdef4c980680c09e      0t0  TCP 192.168.1.134:63396->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   93u  IPv4 0x2c5bc670e3c6ed33      0t0  TCP 192.168.1.134:62372->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   94u  IPv4 0x4b0f46492cd4e944      0t0  TCP 192.168.1.134:63397->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   95u  IPv4 0x3062886adf77b2f0      0t0  TCP 192.168.1.134:57866->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   96u  IPv4 0x457362ca6c31e5ee      0t0  TCP 127.0.0.1:10808->127.0.0.1:63998 (ESTABLISHED)
Tunnel    41723 danilrybalkin   97u  IPv4 0x10d66b1c9afeb381      0t0  TCP 192.168.1.134:63398->144.31.99.109:443 (ESTABLISHED)
Tunnel    41723 danilrybalkin   98u  IPv4  0xe8c0eb5d023a570      0t0  TCP 192.168.1.134:63999->144.31.99.109:443 (ESTABLISHED)
