time,,interface,state,bytes_in,bytes_out,
00:39:45.361555,tcp4 192.168.1.134:57867<->144.31.99.109:443,en0,Established,242992,318846,
00:39:45.361531,tcp4 192.168.1.134:57866<->144.31.99.109:443,en0,Established,90213,197824,
00:39:45.361509,tcp4 127.0.0.1:10808<->127.0.0.1:57865,lo0,Established,186242,66739,
00:39:45.361485,tcp4 127.0.0.1:57865<->127.0.0.1:10808,lo0,Established,66739,186242,
00:39:45.361462,tcp4 192.168.1.134:57819<->144.31.99.109:443,en0,Established,1639305,4844149,
00:39:45.361435,tcp4 192.168.1.134:57814<->144.31.99.109:443,en0,Established,1002474,689725,
00:39:45.361410,tcp4 192.168.1.134:57659<->144.31.99.109:443,en0,Established,1442282,7367125,
00:39:45.361388,tcp4 192.168.1.134:57649<->144.31.99.109:443,en0,Established,18707296,12601158,
00:39:45.361364,tcp4 192.168.1.134:57612<->144.31.99.109:443,en0,Established,79738,51184,
00:39:45.361339,tcp4 192.168.1.134:56569<->144.31.99.109:443,en0,Established,5511300,243515,
00:39:45.361313,tcp4 127.0.0.1:10808<->127.0.0.1:56568,lo0,Established,193244,5469899,
00:39:45.361289,tcp4 127.0.0.1:56568<->127.0.0.1:10808,lo0,Established,5469899,193244,
00:39:45.361241,tcp4 192.168.1.134:54106<->144.31.99.109:443,en0,Established,77399,110411,
00:39:45.361212,tcp4 127.0.0.1:10808<->127.0.0.1:54105,lo0,Established,68587,35278,
00:39:45.361188,tcp4 127.0.0.1:54105<->127.0.0.1:10808,lo0,Established,35278,68587,
00:39:45.361019,tcp4 192.168.1.134:51669<->144.31.99.109:443,en0,Established,38618,16621,
00:39:45.360981,tcp4 192.168.1.134:51662<->144.31.99.109:443,en0,Established,337609,535730,
00:39:45.360957,tcp4 127.0.0.1:10808<->127.0.0.1:51661,lo0,Established,7865,19550,
00:39:45.360906,tcp4 127.0.0.1:51661<->127.0.0.1:10808,lo0,Established,19550,7865,
00:39:45.360878,tcp4 192.168.1.134:51626<->144.31.99.109:443,en0,Established,208821,97594,
00:39:45.360852,tcp4 127.0.0.1:10808<->127.0.0.1:51609,lo0,Established,81326,183581,
00:39:45.360828,tcp4 127.0.0.1:51609<->127.0.0.1:10808,lo0,Established,183581,81326,
00:39:45.360806,tcp4 192.168.1.134:51606<->144.31.99.109:443,en0,Established,1442705,298449,
00:39:45.360756,tcp4 192.168.1.134:51604<->144.31.99.109:443,en0,Established,169666,55233,
00:39:45.360728,tcp4 127.0.0.1:10808<->127.0.0.1:51582,lo0,Established,43717,153623,
00:39:45.360702,tcp4 127.0.0.1:51582<->127.0.0.1:10808,lo0,Established,153623,43717,
00:39:45.360679,tcp4 127.0.0.1:10808<->127.0.0.1:51581,lo0,Established,250820,1372444,
00:39:45.360656,tcp4 127.0.0.1:51581<->127.0.0.1:10808,lo0,Established,1372444,250820,
00:39:45.360509,tcp4 192.168.1.134:51564<->144.31.99.109:443,en0,Established,1036339,338392,
00:39:45.360290,tcp4 127.0.0.1:10808<->127.0.0.1:51559,lo0,Established,297690,966033,
00:39:45.360266,tcp4 127.0.0.1:51559<->127.0.0.1:10808,lo0,Established,966033,297690,
00:39:45.360240,tcp4 127.0.0.1:10820<->*:*,lo0,Listen,,,
00:39:45.360107,tcp4 127.0.0.1:10808<->*:*,lo0,Listen,,,
00:39:45.359253,udp4 *:57683<->*:*,lo0,,6723,5782,
00:39:45.359237,udp4 *:61987<->*:*,lo0,,6006,4961,
00:39:45.359221,udp4 *:56819<->*:*,lo0,,13800,6364,
00:39:45.359141,udp4 *:*<->*:*,,,,,
00:39:45.359125,udp4 127.0.0.1:10820<->*:*,lo0,,0,0,
